scan_pk,timepoint,scan_id,peak1,peak2,peak3,peak4,peak5,peak6,peak7,peak8,peak9,peak10,peak11,peak12,peak13,peak14,peak15
8,-15.0,8,55093.92900549886,13979.323046139089,2708.482600442462,1658.9878882916405,2732.217137922371,1573.0223036277894,113.70544450698637,178.20736156801377,176.42328517293677,129.35993114398,100.84496050432097,204.48877507145755,190.268440926081,106.38806374366447,82.2430496678679
8,-14.0,8,54327.31182027071,14117.586671157196,2635.7052108353255,1643.2178538460694,2656.531455456255,1582.2753323092572,60.80971946560179,150.00117252347172,162.2720419595975,102.72235666015075,126.85924290333912,187.86239725567805,177.83971669181417,57.42377109666381,75.13175293234507
8,-13.0,8,55143.39202918859,13916.18230854354,2669.282336597486,1683.8732202911478,2784.795817362621,1621.7127614928374,122.76779733958253,177.52387311498572,199.58616943146635,103.27560265053575,137.7015034168611,231.3397075756792,179.79860752891707,128.41817140823744,119.3998642061149
8,-12.0,8,53876.007308857676,13597.273073710205,2432.8905794922653,1451.2785096661478,2544.6067302249126,1464.4938544713007,4.51323230383216,91.92834268216757,115.49282878796329,40.913934043769984,47.41989503090245,170.74933325936297,142.19497139144508,63.4681410995596,97.60202056750336
8,-11.0,8,54387.6068372687,13640.655488505701,2514.435232676654,1592.4489205123523,2676.7853780127907,1515.5264810918536,48.3761083297488,110.82410946240316,131.68822377274128,92.71956327705124,76.96611204843191,192.61810395848272,163.59914304439948,61.70906870747365,89.6625600942723
8,-10.0,8,54343.22914850887,13658.041824888352,2447.1103831370824,1578.1642122172075,2657.3384426038524,1542.3019436561558,42.747743573409,99.14468137890185,149.67546253535616,68.10037007433579,51.79573368053376,150.2428262458883,144.59073991205995,61.27427365430606,58.101662995301
8,-9.0,8,54528.49999267214,13810.000211988812,2550.6959259404853,1661.1922818150301,2701.492000444838,1587.0639980743624,75.56181230587069,172.85994124886383,165.8123446740523,133.91917930254291,108.00912442664264,207.21259464241882,193.92126945459293,100.19971545453734,98.0432673276465
8,-8.0,8,54705.595442786944,13137.413614149405,2560.500066799172,1842.3077416624365,2569.066288750249,1431.9028598656394,103.10844862976793,138.81557000744533,210.23283069656017,133.22772990043038,92.31108404616396,122.55040124340336,200.48415895024326,85.82924380121983,89.89724716251476
8,-7.0,8,54588.32746536657,12642.871782674878,2518.7966316667785,1922.7245638379882,2486.650934966901,1425.5646060277782,127.90819665640646,125.6117067583657,240.1877285833069,178.52347565372605,88.35974641304222,136.91008320830895,236.5556251189628,126.9992950568375,103.66599211433936
8,-6.0,8,54173.352553988385,12304.807396675064,2503.7287696839253,1956.5551612846907,2383.1180918145938,1336.0242163555167,155.255444472034,151.80298492751263,253.01510492878614,150.11071234964692,100.37172393117987,140.81768458638373,228.0477966390013,99.74504599360284,72.5551852995013
8,-5.0,8,53993.63572528423,11718.591156565582,2418.994021705084,2026.1419944649465,2237.3086174998707,1252.061702116655,179.29300626053006,106.23593916236064,183.8059559341535,174.88232769977975,91.71572005090832,127.61094809089046,205.11590803128664,109.99280838732022,105.7789251330554
8,-4.0,8,53733.48186561615,11454.311330554048,2518.2565173232388,1935.127382746438,2247.692069688197,1289.7444591713418,146.25712387319274,116.95164346504384,210.12262280269405,170.88582657757541,105.21018060575364,127.73215105271184,207.86015370714497,110.39970359676545,96.75149135094307
8,-3.0,8,52890.32888755406,11146.875120972953,2455.5912397376856,1905.5730354649168,2170.276488482908,1230.733448992831,143.85813949774024,105.01006472710196,166.5121586387764,144.3433901779203,83.35249772438385,132.40660489710297,205.29037021249522,81.51486156250837,101.84784188550259
8,-2.0,8,53319.718319135725,11067.048386456167,2465.008996541136,1967.4535078060785,2226.2158844764954,1257.2922553673636,171.14245558023936,112.40418583725182,189.28208927949672,150.06774119159917,95.53680781659966,132.35099165824602,202.05788439943584,89.47128717888086,99.76819874848081
8,-1.0,8,52622.6997551024,10821.729946784499,2428.6441136799144,1936.9390619561773,2109.229102051131,1286.0183969218401,196.2820260935789,100.95769912680316,197.61476376434038,153.55004607215614,80.31311577761687,106.83068548439347,174.49807994238407,111.37840504163864,110.71076845093455
8,0.0,8,53134.819369104414,11050.081193230892,2516.6142683606763,1984.599648335145,2193.4928666068,1289.2678951243831,205.1739475499685,131.80026344891348,213.69729068286696,183.09063930694077,111.61037854338781,162.7371264262398,207.1655051972223,139.61343348453582,119.40072465062053
8,1.0,8,53182.24983608664,11155.217587816,2550.8062563797666,2023.8896370556386,2262.8204237172577,1347.7514057789335,154.02985548618878,134.1052120491604,214.81017365611032,209.7359771932189,125.17811177805254,125.89522278731134,223.92401935432807,154.42734927844094,125.36954064964539
8,2.0,8,53652.41715451694,10936.86937940806,2615.4839444200366,2038.5180296069602,2262.142507639937,1340.181161236743,208.76665817621165,183.65707279572055,247.00870111239928,206.4409131703452,134.75218416257178,141.88426955072066,237.50767932959187,154.8205774651418,111.52710321794063
