scan_pk,timepoint,scan_id,peak1,peak2,peak3,peak4,peak5,peak6,peak7,peak8,peak9,peak10,peak11,peak12,peak13,peak14,peak15
1,-4.5,1,84701.98823139016,45352.331887809414,6428.160479329081,3786.4979453627548,3950.193963198777,6015.955066281766,1390.535751127587,305.10484679764414,185.63169490579781,206.36595475426842,900.9535811187616,243.4088520325823,64.14871477067433,116.70048082218764,125.51347458496248
1,-4.0,1,84948.13568392834,45332.02084736776,6473.229767503547,3814.050224839541,3873.652532120064,6098.539736253115,1443.23057289134,327.97277067868447,205.09866929733,246.7748633348749,883.4061459172581,195.177019805645,60.72382224404166,140.68229431929757,84.53676659209721
1,-3.5,1,84583.71839079619,44907.32246405386,6500.381551032518,3871.174559919702,3963.1250611058967,6008.408637188022,1426.5133737550452,293.8241149405147,212.6412519861188,233.8772277735259,932.9385897318502,247.6012066660015,34.303812086681745,86.47162345971756,117.93513174613857
1,-3.0,1,84746.81405720278,45448.65888630738,6443.581728834167,3755.626099869167,3992.1541005675617,6065.447249953334,1467.2353625374894,329.95903793312857,251.9397593925401,226.1149190226372,920.5439068906646,224.71837310066675,23.141554808940302,112.5905977745771,87.70776241394884
1,-2.5,1,85661.57159025296,45533.388332500974,6577.46882202981,3938.8403561218693,4053.7258179361925,6135.569384031483,1472.6751629897221,406.88148524869564,276.381272617364,276.7992434742776,945.2509969228829,250.63206639926383,76.5319507213853,128.36296616311614,114.47295466705891
1,-2.0,1,86160.47761204363,45323.006176942356,6533.833196261979,3950.5446133880705,4083.1981144046617,6129.814221820826,1495.9033757417985,384.57227535143863,300.7698554083259,267.2893022180865,971.0163902955662,221.916030221662,59.57537153198039,174.3567173744429,144.28173282858083
1,-1.5,1,85904.37076672241,44877.839741033364,6438.574640043413,3917.2013439713537,4019.1713389396914,6104.8652579531035,1504.7092880764965,403.05477512944765,253.9765417224815,293.8802004861762,955.3036332854842,252.34843765016362,105.90360142221061,107.3471189509518,116.48767686664605
1,-1.0,1,86054.39249015857,45700.35469274995,6540.870449584584,3886.244911081478,3993.7896907306335,6113.872201695827,1537.8386091099883,358.260793422813,305.74762368976354,287.48920671505977,947.5783498038886,241.1718849303214,26.276171263040368,128.89628889624547,127.9981308421696
1,-0.5,1,85865.45622569081,45577.406929751065,6566.478924354514,3969.0790593304046,4045.7509478166185,6174.311187235755,1496.746532079657,392.71012086905023,259.0564314606914,290.76918196374237,942.5282431881526,264.8721652444704,67.97996619427974,108.51809594199395,108.03651833554234
1,0.0,1,86019.60338562133,45631.219395695996,6613.43854709315,3833.6946108562747,3991.8979848731688,6131.178606226387,1521.1623814334002,375.3499900832429,286.70757206747686,250.8393375278968,933.2318415334578,259.1003450502213,104.85843422905509,133.14320968551957,101.46611106652104
1,0.5,1,85841.52001107049,45453.40414354348,6444.346763032685,3825.5460933580994,3980.288609574618,6009.329585125473,1443.283320248759,356.80442642483615,254.3249532735088,257.26205251789384,951.3348725028252,246.5328391253466,62.52856076640544,117.7638093232885,132.30096433172784
1,1.0,1,85503.62699881902,45502.46670376607,6425.277065260074,3866.8485223014845,4032.8685936387415,6067.19097874613,1453.2027577752426,366.8606924888319,224.33692324157306,210.9383744214281,930.4820758812077,262.5445953591391,49.40198150697777,109.49988384599321,83.23242665214748
1,1.5,1,85837.74804314418,44801.857267776184,6404.2541721436655,4129.536642534464,4011.11987597307,5919.886151558596,1480.4283946477658,456.18124714140725,293.85116328460646,255.36321716186717,888.0818724063008,310.98648518155517,78.502974397722,140.93840470505182,132.68662913901957
1,2.0,1,85755.51055452632,44558.6806305314,6497.208125013703,4112.67909156484,3909.6185208960565,5806.760181500005,1438.074572305171,469.2393328304544,312.031608422278,248.34916101203203,855.669637097458,300.8767897798515,118.93297724660897,147.57607984553573,148.54049358454063
1,2.5,1,85771.90672646489,44254.5388267161,6482.712607076347,4082.8840520010667,3942.4476896463684,5728.000125769147,1408.5736391291664,446.88820419680917,334.6881382152832,309.7933666976713,814.5878202477641,307.4084226016861,109.63615276331029,134.14998018590694,158.91051472157005
1,3.0,1,85605.96384488311,43866.07929664886,6522.747166946048,4112.601728270764,3847.977170655103,5643.994035294099,1403.1994478086772,518.1028119948719,341.0737679365876,340.665084382506,792.9625022302774,334.5276742611803,75.90300647173987,143.28388172925014,104.92739433806032
1,3.5,1,85222.0829281685,43767.13250477882,6339.340838168535,4058.601418357184,3804.9239664473234,5569.225804044575,1390.6622413663983,469.80374378226355,355.49999504010896,325.89782830810105,780.4497515087093,310.9084876655671,109.45249439004465,132.50827114862858,138.93118067802084
1,4.0,1,85179.11174073716,43404.58059696272,6330.1395652345245,4093.5671186187933,3752.996740525186,5539.290812369167,1371.3995976422668,423.43904471608596,338.94644072478746,313.49496740673004,753.3483918488308,293.68364956998704,105.99057890985864,137.10387281504464,107.595995831797
1,4.5,1,85591.28820751846,43533.73878322371,6462.998735428609,4151.21145317853,3807.360953054475,5534.543696143814,1377.0133943926646,481.32922128878425,350.0929010026979,336.38030891235377,776.4562363842111,277.80058851706355,92.00522577187189,108.44128171997718,127.21532619784985
1,5.0,1,85096.75126671705,43348.06116941467,6586.26275693826,4188.271736371846,3771.643187077088,5538.2551930523605,1433.7055568291787,428.54921869656494,326.71862285111376,336.8343590167786,765.9179014257513,292.45780088460293,109.32544643684514,133.34757322669606,121.51431551812875
1,5.5,1,85588.00710818825,43414.18510153783,6577.655828694755,4157.940253251602,3860.5107247976016,5535.696006089078,1440.7385901860423,449.13253073886733,371.5978295886508,341.54090310835824,711.4202800811642,301.9716739292358,109.56746453879418,175.34616299605744,136.1017629306269
1,6.0,1,84957.79799193684,42809.70631633956,6534.306436708819,4229.790838678782,3784.7714343511407,5494.788205968399,1459.01368620147,435.6336679803584,393.59171187926916,351.47280167831747,736.0725087030156,312.3558678365931,140.97158999113208,177.18397492953244,141.79336658794782
1,6.5,1,84921.10137080893,42811.3931847114,6560.382378617929,4040.7473989096466,3741.1517394200055,5451.219457663845,1371.1684365885048,430.5745993100451,351.04829350391435,352.4652597781913,754.460471866578,301.3952603618403,111.66123951195618,114.19833276991487,134.3699889910392
1,7.0,1,84870.4712958976,43135.31523969189,6636.098854012467,4131.876564751021,3706.1338829618694,5474.129713258169,1337.6439914689558,431.58154076239464,369.27825355702214,333.82487486601104,717.5247376850585,246.88472270868405,107.79472133114155,158.64743183572108,138.2686835864583
1,7.5,1,84856.6422131431,43080.983553005186,6602.01222917283,4208.497322043832,3701.216386947428,5526.920578033905,1434.168003126779,445.66864640749793,382.6883187420839,343.3880107035084,736.0400784259306,288.03781666666947,99.63324422241976,112.58764257267528,130.64341383849873
1,8.0,1,85062.78357400351,43220.107890853564,6800.788672499836,4235.438136046766,3743.014241388107,5436.970787973725,1438.5594395904382,428.25884936320233,398.2620195504338,366.4789927854634,688.6688119757664,283.67140548774694,140.61120728431206,158.55583593336354,123.02479966946699
1,8.5,1,85161.49210371007,43271.41161243059,6678.247783208422,4157.285524692905,3707.212587984426,5487.457551090504,1385.0495913238117,486.80991062969514,406.26425781784235,361.6211876279165,729.6458229218351,314.44026878724605,101.5979160221425,121.41079461384234,153.6061577169827
1,9.0,1,85334.07154250902,43051.399164324976,6670.986982965729,4135.37447714667,3744.27080162257,5448.215193466387,1422.6267285453168,438.6101261392283,407.3971834241835,357.4959442555567,747.6675771029664,319.5345259464722,140.09322652522656,157.64372883076788,129.83723803553025
1,9.5,1,84918.29110040925,43102.01949667886,6670.2606168337425,4196.771155160471,3747.576570968314,5380.800559069302,1414.4609323952418,491.61773983110055,380.78564101066115,354.48541527708,722.149626671446,300.9506059303738,102.73114825052312,143.70538361516668,140.6937876032209
1,10.0,1,84682.35864171734,43036.946266157676,6612.845041146715,4128.331118734009,3682.87154120033,5427.574373013734,1393.4537016452516,425.0016483510036,367.40350739962025,360.4892871715186,701.6616603755172,331.15929488922336,138.31175889838096,161.7176222638281,145.61199480950344
1,10.5,1,85022.9168839847,43074.46252329157,6664.103303272125,4155.286518853733,3625.11149684195,5477.927969556214,1418.5549500490552,430.4061483876584,367.54065138592034,390.8480032891371,716.4676985106738,297.8369409004891,106.56170581582364,159.44774679547066,98.01130890540237
1,11.0,1,85034.60350019348,43085.47883109,6648.771665420896,4207.010745481396,3775.0140438601516,5416.85234265494,1423.8795602142088,486.1059549184194,383.503277585757,363.8475623434554,709.0192437870483,290.1403322477218,97.22544321517307,127.104327585411,156.5913416509877
1,11.5,1,85393.76662836359,43290.08798869012,6666.034512097353,4096.000441914721,3726.5245422945445,5450.596653976243,1422.2310881572673,435.59161008917835,377.32695892555296,347.80575754639614,726.2457569052533,316.59223680385946,113.88579688915524,131.1027283777245,194.09220869634166
1,12.0,1,85540.32182783648,42986.29400473542,6608.030629803236,4159.292794286672,3778.099855037397,5476.067454381818,1434.3603744460852,422.3433142974128,399.7362335042757,367.5271545422975,706.2199596133707,288.03995783680404,112.77266526699646,173.50753262775783,133.6431749309821
